sample	input_reads	demuxed_reads
NPT03	23159	22991
NPT05	19189	19048
NPT06	9693	9621
NPT07	24669	24449
NPT09	33233	32973
NPT10	11454	11365
NPT11	29643	29386
NPT12	41471	41122
NPT13	42508	42175
NPT14	15091	14980
NPT15	18564	18405
NPT17	16311	16205
NPT18	37288	36996
NPT19	27408	27185
NPT20	49430	49076
NPT22	22490	22318
NPT23	10450	10378
NPT24	25931	25724
NPT25	20595	20416
PT01	15916	15812
PT02	14006	13918
PT03	17773	17650
PT04	12930	12846
PT05	9321	9259
PT06	13242	13151
PT07	13159	13072
PT08	11822	11746
PT09	21338	21144
PT10	11960	11867
PT11	11744	11665
PT12	10922	10849
PT13	18029	17869
PT14	18249	18090
PT15	11280	11192
PT16	10633	10546
PT17	41583	41244
PT18	14706	14575
PT19	36168	35876
PT20	23846	23633
PT21	18708	18595
PT22	37673	37424
PT23	11064	10995
PT24	1574	1562
PT25	9300	9248
