sample	length:q1	length:q3	length:median	avg.qual:q1	avg.qual:q3	avg.qual:median
NPT03	1489.00	1532.00	1521.00	29.25	72.26	39.27
NPT05	1532.00	1532.00	1532.00	32.90	88.00	46.42
NPT06	1524.00	1525.00	1525.00	31.82	84.20	44.38
NPT07	1525.00	1526.00	1525.00	30.47	75.75	40.98
NPT09	1491.00	1493.00	1492.00	29.78	71.65	39.38
NPT10	1531.00	1532.00	1532.00	32.34	88.09	45.81
NPT11	1524.00	1526.00	1525.00	29.82	72.13	39.83
NPT12	1524.00	1532.00	1525.00	30.24	79.42	41.56
NPT13	1525.00	1532.00	1531.00	30.11	77.03	40.94
NPT14	1524.00	1532.00	1528.00	30.22	81.51	41.85
NPT15	1490.00	1534.00	1532.00	31.23	84.04	43.56
NPT17	1486.00	1501.00	1489.00	30.41	80.35	41.72
NPT18	1532.00	1533.00	1532.00	31.71	83.35	43.73
NPT19	1532.00	1533.00	1532.00	31.90	83.35	43.84
NPT20	1532.00	1533.00	1532.00	30.96	82.79	42.73
NPT22	1532.00	1533.00	1532.00	30.48	76.96	41.43
NPT23	1525.00	1526.00	1525.00	31.07	81.09	42.37
NPT24	1525.00	1526.00	1525.00	31.14	76.73	41.91
NPT25	1525.00	1532.00	1526.00	30.05	74.27	39.86
PT01	1488.00	1500.00	1492.00	29.16	70.51	38.72
PT02	1489.00	1534.00	1533.00	30.48	79.62	41.39
PT03	1489.00	1534.00	1533.00	29.98	77.27	40.63
PT04	1489.00	1534.00	1532.00	30.64	81.41	41.86
PT05	1487.00	1530.00	1521.50	29.49	77.58	40.54
PT06	1524.00	1532.00	1531.00	31.75	85.89	44.04
PT07	1530.00	1532.00	1532.00	31.12	77.12	41.85
PT08	1492.00	1502.00	1492.00	29.34	73.68	39.53
PT09	1531.00	1532.00	1532.00	30.73	75.43	41.02
PT10	1490.00	1496.00	1492.00	29.65	73.44	39.49
PT11	1489.00	1518.00	1492.00	29.22	72.03	38.77
PT12	1531.00	1532.00	1532.00	31.44	81.53	44.25
PT13	1493.00	1496.00	1494.00	29.60	64.73	38.16
PT14	1531.00	1533.00	1532.00	31.08	77.19	41.85
PT15	1500.00	1515.00	1501.00	29.12	68.73	38.70
PT16	1488.00	1525.00	1489.00	29.70	72.61	39.54
PT17	1489.00	1530.00	1493.00	29.32	69.65	38.77
PT18	1524.00	1525.00	1524.00	31.69	83.96	43.84
PT19	1487.00	1501.00	1489.00	29.20	69.48	38.74
PT20	1529.00	1533.00	1532.00	29.41	74.28	39.67
PT21	1488.00	1497.00	1492.00	30.54	77.59	41.19
PT22	1488.00	1498.00	1492.00	30.64	79.61	41.69
PT23	1487.00	1509.00	1492.00	31.88	85.65	44.80
PT24	1510.00	1512.00	1510.00	32.67	86.52	46.45
PT25	1509.00	1511.00	1510.00	32.29	85.86	44.79
